title
"Job Size: Min (Core Count): by PI"
parameters

start,end
"Berzins, Martin - U Utah",16
"Bhaganagar, Kiran - UT San Antonio",16
"Bhatta, Ram S - U Akron",16
"Billington, Sarah L - Stanford U",16
"Biringen, Sedat - CU Boulder",16
"Birke, Ronald Lewis - CUNY City College",16
"Bittner, Noelle Kristen Jeffery - UC Berkeley",16
"Blondin, John M. - NC State U",16
"Bodony, Daniel Joseph - UIUC",16
"Boldyrev, Stanislav - U Wisconsin-Madison",16
"Bovik, Alan Conrad - UT Austin",16
"Braatz, Richard - MIT",16
"Brannen, Kathleen Merritt - U Tennessee",16
"Brannigan, Grace - Rutgers U",16
"Bretherton, Christopher Stephen - U Washington",16
"Brummell, Nicholas H - UC Santa Cruz",16
"Brunner, Robert J. - UIUC",16
"Bryan, Greg L. - Columbia U",16
"Bucci, Giovanna  - MIT",16
"Buchwald, James Richard - RPI",16
"Buehler, Markus J - MIT",16
"Burger, Virginia M - MIT",16
"Cai, Dong - U Houston",16
"Campos, Luis M - Columbia U",16
"Cannon, John Francis - U Missouri, Columbia",16
"Caprez, Adam - U Nebraska, Lincoln",16
"Cargile, Phillip Andrew - Harvard U",16
"Carrington, Laura - UC San Diego",16
"Casabianca, Jodi  - UT Austin",16
"Case, David A - Rutgers U",16
"Casey, Richard Michael - Colorado State U",16
"Castillo-Chara, Jairo - Fayetteville State U",16
"Ceder, Gerbrand - MIT",16
"Ceperley, David M - UIUC",16
"Chams, Tarek  - SUNY Binghamton",16
"Chan, Maria - ANL",16
"Chandran, Uma - U Pittsburgh",16
"Chang, Philip - U Wisconsin-Milwaukee",16
"Chang, Ping - Texas A&M",16
"Cheatham, Thomas E. - U Utah",16
"Chelikowsky, James R - UT Austin",16
"Chen, Hanning - George Washington U",16
"Chen, Jianhan - Kansas State U",16
"Chen, Min - Rice U",16
"Cheng, Tianle - NETL",16
"Cheung, Margaret S. - U Houston",16
"Chong, Lillian T - U Pittsburgh",16
"Chow, Edmond - Georgia Tech",16
"Chowdhury, Rezaul Alam - SUNY Stony Brook",16
"Chrisochoides, Nikos - Old Dominion U",16
"Clancy, Paulette  - Cornell U",16
"Cohen, Marvin L. - UC Berkeley",16
"Cohen, Ronald E. - CIW",16
"Collins, David - Florida State U",16
"Cooperman, Gene - Northeastern U",16
"Coridan, Robert - Caltech",16
"Cosden, Ian A - Princeton U",16
"Cousins, Kimberley R - CSU-San Bernardino",16
"Cowburn, David - Einstein College of Med",16
"Craig, Stephen - Duke U",16
"Cui, Qiang - U Wisconsin-Madison",16
"Cui, Shengting - U Tennessee",16
"Cui, Yifeng - UC San Diego",16
"Danko, Charles G - Cornell U",16
"Dawson, Clinton N - UT Austin",16
"Debenedetti, Pablo G - Princeton U",16
"Del Vento, Davide - NCAR",16
"Demeler, Borries - UT Hlth Sci Ctr San Antonio",16
"Dennis, John Mauff - NCAR",16
"Denolle, Marine Anne Marie - SIO",16
"Deshlahra, Prashant - UC Berkeley",16
"Detmold, William - MIT",16
"Dibble, Theodore S. - SUNY ESF",16
"Dickens, Phillip Mathew - U Maine",16
"Dinescu, Adriana - Wilkes U",16
"Dinolfo, Peter H. - RPI",16
"Dongare, Avinash M - U Connecticut",16
"Donnell, David Michael - The Citadel",16
"Donzis, Diego A. - Texas A&M",16
"Dorland, William D - U Maryland",16
"Downar, Thomas J. - U Michigan",16
"Duan, Huaiyu - U New Mexico",16
"Dubin, Daniel Herschel - UC San Diego",16
"Duffy, Alison Guidry - U Washington",16
"Durbin, Paul - Iowa State U",16
"Dutt, Shantanu  - U Illinois, Chicago",16
"Ebalunode, Jerry - U Houston",16
"Ebrahimi, Davoud - MIT",16
"Ecker, Joseph - Salk Institute",16
"Edirisinghe, Neranjan - Georgia State U",16
"Egolfopoulos, Fokion - USC",16
"El-Awady, Jaafar A - Johns Hopkins U",16
"El-Khoury, Patrick Zakhia - PNL",16
"Escobedo, Fernando - Cornell U",16
"Eshraghi Kakhki, Mohsen - CSU-Los Angeles",16
"Espinosa, Horacio Dante - Northwestern U",16
"Evans, Charles R. - UNC",16
"Falgout, Jeff - USGS",16
"Fang, Hanming - U Pennsylvania",16
"Fatahalian, Kayvon - CMU",16
"Faucher-Giguere, Claude-Andre - Northwestern U",16
"Feigenson, Gerald W - Cornell U",16
"Fichthorn, Kristen - Penn State U",16
"Filip, Grzegorz Piotr - U Michigan",16
"Filizola, Marta - Mt Sinai Sch of Med",16
"Frank, Adam - U Rochester",16
"Freddolino, Peter - Columbia U",16
"Fu, Chao - U Wisconsin-Madison",16
"Fu, Iris Wing Yin - UC Irvine",16
"Ganapathysubramanian, Baskar - Iowa State U",16
"Garcia, Angel E - RPI",16
"Gardoni, Paolo - UIUC",16
"Garner, Robert N - U Incarnate Word",16
"Gazula, Vikram - U Kentucky",16
"Ge, Xiaoxia - CUNY City College",16
"Gharakhani, Adrin - Applied Sci Res",16
"Gibou, Frederic - UC Santa Barbara",16
"Giebink, Noel C. - Penn State Mont Alto",16
"Gilbert, Donald - Indiana U",16
"Gilmore, Matthew - U North Dakota",16
"Glotzer, Sharon C - U Michigan",16
"Gobbert, Matthias Klaus - U Maryland, Baltimore Co",16
"Goetz, Andreas Walter - UC San Diego",16
"Gomez, Enrique Alberto - W Carolina U",16
"Gonzalez, Ana C - UPR Mayaguez",16
"Goodwin, Andrew Pratt - CU Boulder",16
"Gordon, Karl Douglas - STScI",16
"Grabow, Lars Christian - U Houston",16
"Gray, Jeffrey J - Johns Hopkins U",16
"Greer, Edyta M. - CUNY Baruch College",16
"Greif, Thomas - Harvard U",16
"Grossman, Jeffrey C. - MIT",16
"Gu, Qing - UC San Diego",16
"Gubbins, David - SIO",16
"Gumbart, James - Georgia Tech",16
"Gurbuz, Elif  - UC Berkeley",16
"Gygi, Francois - UC Davis",16
"Hacker, Thomas - Purdue U",16
"Hagan, Michael Francis - Brandeis U",16
"Hagen, Scott Charles - U Central Florida",16
"Haglund, Richard Forsberg - Vanderbilt U",16
"Haiman, Zoltan - Columbia U",16
"Hajjar, Jerome F. - Northeastern U",16
"Hall, Carol - NC State U",16
"Hallman, Eric - CU Boulder",16
"Hamann, Christian - Albright College",16
"Hammes-Schiffer, Sharon - UIUC",16
"Hargrove, Paul Hamilton - LBNL",16
"Harrison, Julia - U Utah",16
"Hawley, John F. - U Virginia",16
"He, Hongshan - Eastern Illinois U",16
"Hennig, Richard G. - U Florida",16
"Hernandez, Rigoberto - Georgia Tech",16
"Heyden, Andreas - U South Carolina",16
"Hill, Alex S - Haverford College",16
"Hill, David Foster - Oregon State U",16
"Hills, Matthew - U Utah",16
"Hirschi, Jennifer Sue - SUNY Binghamton",16
"Hocky, Glen - Columbia U",16
"Hofert, Joe  - Indiana Wesleyan U",16
"Hoffman, Gerald - Edinboro U",16
"Hoffman, Matthew - RIT",16
"Holt, William E. - SUNY Stony Brook",16
"Hong, Sampyo - U Central Florida",16
