title
"Job Size: Max (Core Count): by PI"
parameters

start,end
2014-05-15,2015-05-14
---------
PI,"Job Size: Max (Core Count)"
"Tokman, Mayya - UC Merced",1024
"Trac, Hy - CMU",1024
"Wang, Jin - SUNY Stony Brook",1024
"Wilcox, Jennifer - Stanford U",1024
"Wolski, Rich - UC Santa Barbara",1024
"Yakobson, Boris I - Rice U",1024
"Zhong, Xiaolin - UCLA",1024
"Zhou, Z. Hong - UCLA",1024
"da Silveira, Pedro Rodrigo Castro - U Minn",1024
"Ebalunode, Jerry - U Houston",1008
"Fu, Chao - U Wisconsin-Madison",1008
"Hall, Jaclyn Marie - U Florida",1008
"Johnston, Hans - U Mass, Amherst",1008
"Karanicolas, John - U Kansas",1008
"Norman, Sean - U South Carolina",1008
"RAI, NAVNEET  - UC Davis",1008
"Weinstein, Benjamin Gregory - SUNY Stony Brook",1008
"Zou, Jian - IUPUI",992
"Eigenmann, Rudolf - Purdue U",980
"Sandholm, Tuomas - CMU",976
"Al-Saidi, Wissam Abdo - U Pittsburgh",960
"Brannigan, Grace - Rutgers U",960
"Dawes, Richard - Missouri S&T",960
"Dhakal, Subas - Syracuse U",960
"Farhi, Moran  - UC Davis",960
"Grossman, Jeffrey C. - MIT",960
"Guvench, Olgun - U New England",960
"Heinz, Sebastian - U Wisconsin-Madison",960
"Jin, Meng - UCAR",960
"Lin, Kan-Ju - MIT",960
"Mukkamala, Ravi - Old Dominion U",960
"Roy, Kuldeep Kumar - U Mississippi",960
"Scharfenberg, Buddy - Missouri S&T",960
"Sinha, Neelima - UC Davis",960
"Um, Jun Shik - UIUC",960
"sansoz, frederic - U Vermont",960
"Ngoko Djiokap, Jean Marcel - U Nebraska, Lincoln",912
"Diener, Peter - Louisiana State U",896
"Wei, Tao - Lamar U",848
"Wereszczynski, Jeff - IIT",848
"Mullendore, Gretchen Louise - U North Dakota",840
"Bahar, Ivet - U Pittsburgh",800
"Cushman, John Chandler - U Nevada, Reno",800
"Lockman, John A - UT Austin",800
"Madura, Jeffry D. - Duquesne U",800
"Muller, Michael - Southwest Res Inst",800
"Nangia, Shikha - Syracuse U",800
"Silberstein, Meredith Natania - Cornell U",800
"Yao, Xiaohui - IUPUI",800
"Kettimuthu, Rajkumar - ANL",784
"Brooks, Charles L - U Michigan",768
"Cave, Robert J - Harvey Mudd College",768
"Ceder, Gerbrand - MIT",768
"Evans, Charles R. - UNC",768
"Fleming, Karen - Johns Hopkins U",768
"Kushnir, Doron - Institute for Advanced Study",768
"Lo, Cynthia S - Washington U",768
"Marchand, Roger - U Washington",768
"Masud, Arif - UIUC",768
"McCammon, James Andrew - UC San Diego",768
"Tobias, Douglas J. - UC Irvine",768
"Tsyshevsky, Roman - U Maryland",768
"Urbanic, John - PSC",768
"Volkov, Alexey N. - U Alabama",768
"Akis, Richard - Arizona State U",736
"Gonzalez, Ana C - UPR Mayaguez",736
"Meyer, Randall - U Illinois, Chicago",736
"Speyer, Gil - Arizona State U",736
"Medlin, James W. - CU Boulder",720
"Zheng, Lianyuan - U South Florida",720
"Malcom, Jacob Wesley - U Connecticut",704
"Valle-Levinson, FArnoldo - U Florida",704
"Goldberg, Sharon - Boston U",688
"Kosar, Tevfik - SUNY Buffalo",688
"Palen, Brock - U Michigan",688
"Barone, Veronica  - Central Michigan U",640
"Bernard, Peter S. - U Maryland",640
"Cohen, Ronald E. - CIW",640
"Filip, Grzegorz Piotr - U Michigan",640
"Gupta, Sandeep - Virginia Tech",640
"Johnson, Harley T. - UIUC",640
"Khanna, Gaurav - U Mass, Dartmouth",640
"Laguna, Pablo - Georgia Tech",640
"Levine, Benjamin G - Michigan State U",640
"Maidment, David Robert - UT Austin",640
"Makhatadze, George I - RPI",640
"Maki, Kevin - U Michigan",640
"Moore, Richard - UC San Diego",640
"Ong, Benjamin - Michigan Tech",640
"Pujari, Sumiran  - U Kentucky",640
"Zhou, Yunkai - S Methodist U",640
"Mashayek, Farzad - U Illinois, Chicago",624
"Duan, Lian - Missouri S&T",608
"Olsen, Bradley David - MIT",608
"Wiens, Douglas A - Washington U",608
"ferreira, celso moller - George Mason U",608
"Myong, Sua - UIUC",592
"El-Awady, Jaafar A - Johns Hopkins U",576
"Evans, Alexander J - Columbia U",576
"Kaznessis, Yiannis N. - U Minn",576
"Landau, David P - U Georgia",576
"Meng, Ying Shirley - UC San Diego",576
"Naylor, Jason - Purdue U",576
"Sakidja, Ridwan - Missouri State U",576
"Del Vento, Davide - NCAR",560
"Larini, Luca - Rutgers U",560
"Ahmed, Shaikh S - SIU Carbondale",544
"Hernandez, Rigoberto - Georgia Tech",544
"Suhartanto, Heru  - U Indonesia",528
"Abernathey, Ryan - Columbia U",512
"Andresen, Daniel - Kansas State U",512
"Asadi, Ebrahim - Missouri S&T",512
"Asle Zaeem, Mohsen - Missouri S&T",512
"Basu, Sukanta - NC State U",512
"Belyaev, Mikhail Alexander - UC Berkeley",512
"Blecha, Laura E - U Maryland",512
"Bradford, Kent Jay - UC Davis",512
"Bykhovskaia, Maria - Central U Caribbean",512
"Cai, Dong - U Houston",512
"Cann, Isaac K O - UIUC",512
"Chen, Jianhan - Kansas State U",512
"Cheung, Margaret S. - U Houston",512
"Cooper, Catherine Marguerite - Washington State U",512
"Cui, Qiang - U Wisconsin-Madison",512
"DeTore, Suzanne - Syracuse U",512
"Dongare, Avinash M - U Connecticut",512
"Doubleday, Charles - Columbia U",512
"Doughty, Shawn G. - Tufts U",512
"Dutt, Meenakshi - Rutgers U",512
"Fringer, Oliver - Stanford U",512
"Giedt, Joel - RPI",512
"Goetz, Andreas Walter - UC San Diego",512
"Gray, Jeffrey J - Johns Hopkins U",512
"Hazlewood, Victor - NICS",512
"Hill, Alex S - Haverford College",512
"Hoffmann, Klaus - Wichita State U",512
