title
"Job Size: Per Job (Core Count): by PI"
parameters

start,end
2014-04-30,2015-04-30
---------
PI,"Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)"
"li, yaping  - U Tulsa",192,0
"Muller, Michael - Southwest Res Inst",190,48.060769594901295
"Richard, Ryan Matthew - Georgia Tech",190,24.9972581439854
"Fragile, Patrick C - College of Charleston",188,4.788946269925282
"Bodony, Daniel Joseph - UIUC",187,5.026319856194684
"Winters, Kraig - UC San Diego",187,14.67303392825884
"Khanna, Gaurav - U Mass, Dartmouth",186,17.561669902071273
"Terrill, Judith Ellen - NIST",186,17.949062148201506
"Pongkitiwanichakul, Peera - U Chicago",185,4.203139495403702
"Kimber, Mark - U Pittsburgh",184,9.80432348774053
"Bahar, Ivet - U Pittsburgh",183,15.272919708318398
"Colvin, Michael E - UC Merced",183,33.47216926286988
"Garcia, Angel E - RPI",183,3.695999666865094
"Samimi, Alireza - U Utah",183,5.719987160621365
"Sperhake, Ulrich - Caltech",183,5.794264289271616
"Marcello, Dominic - Louisiana State U",182,31.9953558985556
"Raeymaekers, Bart  - U Utah",182,12.901811918907358
"Su, Shiquan - NICS",182,4.021159900872114
"Dhakal, Subas - Syracuse U",181,2.6773449793633137
"Tenishev, Valeriy - U Michigan",181,13.469616004679851
"Morningstar, Colin - CMU",180,0.9617938674686417
"Bromm, Volker - UT Austin",178,6.783069174896275
"Cuendet, Michel Alain - Weill Cornell Med College",178,18.655695790658303
"Moser, Robert - UT Austin",178,93.84609943428889
"Arolla, Sunil - Cornell U",177,40.41703468095898
"Sumner, Isaiah Charles - James Madison U",177,11.642374320424528
"White, Stephen H. - UC Irvine",177,6.477147403150225
"El-Awady, Jaafar A - Johns Hopkins U",176,8.71879076441713
"Wilson, Robert E - SUNY Stony Brook",176,13.817416246735032
"Barone, Veronica  - Central Michigan U",175,7.9707596332846045
"Nanda, Hirsh - CMU",175,16.741515741996263
"Basu, Sukanta - NC State U",174,45.14144437210666
"Srinivasan, Ashok - Florida State U",174,17.52842898106421
"Vanderpool, Daniel D - U Montana",174,36.96095236868227
"Chen, Hanning - George Washington U",173,1.9372781063767595
"Jiang, Shaoyi - U Washington",173,7.74111782904439
"Chiu, Wah - Baylor College of Med",172,23.278423768866396
"Clayton, Jeffrey Charles - Louisiana State U",172,6.781973210569579
"Deierlein, Gregory - Stanford U",170,50.38627775528934
"Buck, Matthias - CWRU",169,1.8163494882920983
"Gelernter, Judith - CMU",169,24.61422871940568
"Leburton, Jean-Pierre - UIUC",169,11.535187335930006
"McWilliams, James C. - UCLA",169,2.852441658010711
"Sarma, Jayshree - George Mason U",169,20.71577604950455
"Baron, Riccardo - U Utah",168,5.589927311771507
"Jack, Mark A - Florida A&M U",168,61.56247831235932
"Rai, Neeraj - Mississippi State U",166,20.84765417232484
"Lieuwen, Timothy Charles - Georgia Tech",165,29.5586183592978
"sansoz, frederic - U Vermont",163,7.524144528796926
"Mittal, Rajat - Johns Hopkins U",162,3.8718407665086056
"Voss, Dan - U Kansas",162,22.104888182054975
"Ashour-Abdalla, Maha - UCLA",161,13.507442169660832
"Babaee, Hessam - MIT",161,2.9491285521319432
"Dorland, William D - U Maryland",159,13.32073845367356
